# IMG_ID:  N1551888681_1
# Date:    2007/03/06
# Res:     7.9
# Alt_min: 0.0
# Alt_max: 700.0
# Sun_min: 0.0
# Sun_max: 5.0
#----------------------
# SS_lat: -13.3
# SS_lon: 127.0
# SC_lat: -16.3
# SC_lon: 329.2
#----------------------
# Alt[km] Lat[degN] Lon[degW]  I/F_dec[]
      0.4     -44.7      76.1  2.099e-01
      8.3     -44.7      76.1  2.083e-01
      7.6     -44.9      76.2  2.090e-01
      7.0     -45.1      76.3  2.083e-01
      6.4     -45.2      76.4  2.168e-01
      5.8     -45.4      76.5  2.015e-01
      5.2     -45.5      76.6  2.074e-01
      4.7     -45.7      76.7  2.039e-01
      4.2     -45.9      76.8  2.148e-01
      3.7     -46.0      76.9  2.077e-01
      3.2     -46.2      77.0  1.965e-01
      2.8     -46.3      77.1  2.073e-01
      2.4     -46.5      77.2  2.097e-01
      2.0     -46.7      77.3  1.940e-01
      1.6     -46.8      77.4  1.963e-01
      1.3     -47.0      77.5  1.982e-01
      0.9     -47.1      77.6  1.974e-01
      0.6     -47.3      77.7  2.061e-01
      0.4     -47.5      77.8  1.982e-01
      0.1     -47.6      77.9  2.082e-01
     16.2     -44.8      76.1  1.979e-01
     15.5     -44.9      76.2  2.069e-01
     14.9     -45.1      76.3  2.133e-01
     14.3     -45.2      76.4  2.076e-01
     13.7     -45.4      76.5  2.113e-01
     13.1     -45.6      76.6  2.137e-01
     12.6     -45.7      76.7  2.116e-01
     12.1     -45.9      76.8  2.081e-01
     11.6     -46.0      76.9  2.084e-01
     11.1     -46.2      77.0  2.133e-01
     10.7     -46.4      77.1  2.060e-01
     10.3     -46.5      77.2  2.023e-01
      9.9     -46.7      77.3  2.080e-01
      9.5     -46.8      77.4  2.249e-01
      9.1     -47.0      77.5  2.043e-01
      8.8     -47.1      77.6  2.081e-01
      8.5     -47.3      77.7  2.139e-01
      8.3     -47.5      77.8  2.079e-01
      8.0     -47.6      77.9  1.920e-01
      7.8     -47.8      78.0  2.008e-01
      7.6     -47.9      78.1  2.217e-01
      7.4     -48.1      78.2  2.028e-01
      7.3     -48.3      78.4  2.153e-01
      7.1     -48.4      78.5  2.046e-01
      7.0     -48.6      78.6  1.926e-01
      6.9     -48.7      78.7  2.023e-01
      6.9     -48.9      78.8  2.092e-01
      6.9     -49.1      78.9  2.090e-01
      6.8     -49.2      79.0  2.086e-01
     24.0     -44.8      76.1  2.085e-01
     23.4     -44.9      76.2  2.260e-01
     22.7     -45.1      76.3  2.087e-01
     22.1     -45.2      76.4  2.070e-01
     21.6     -45.4      76.5  2.082e-01
     21.0     -45.6      76.6  2.178e-01
     20.5     -45.7      76.7  2.021e-01
     19.9     -45.9      76.8  2.094e-01
     19.5     -46.0      76.9  2.115e-01
     19.0     -46.2      77.0  2.101e-01
     18.6     -46.4      77.1  2.141e-01
     18.1     -46.5      77.2  2.108e-01
     17.7     -46.7      77.3  2.106e-01
     17.4     -46.8      77.4  2.046e-01
     17.0     -47.0      77.5  2.046e-01
     16.7     -47.2      77.6  2.123e-01
     16.4     -47.3      77.7  2.090e-01
     16.1     -47.5      77.8  2.086e-01
     15.9     -47.6      77.9  2.174e-01
     15.7     -47.8      78.0  2.051e-01
     15.5     -47.9      78.1  2.034e-01
     15.3     -48.1      78.3  2.136e-01
     15.1     -48.3      78.4  2.067e-01
     15.0     -48.4      78.5  2.138e-01
     14.9     -48.6      78.6  2.289e-01
     14.8     -48.7      78.7  2.097e-01
     14.8     -48.9      78.8  2.009e-01
     14.7     -49.1      78.9  2.168e-01
     14.7     -49.2      79.0  2.094e-01
     31.9     -44.8      76.1  2.265e-01
     31.2     -44.9      76.2  2.229e-01
     30.6     -45.1      76.3  2.081e-01
     30.0     -45.3      76.4  2.161e-01
     29.4     -45.4      76.5  2.155e-01
     28.9     -45.6      76.6  2.162e-01
     28.3     -45.7      76.7  2.230e-01
     27.8     -45.9      76.8  2.257e-01
     27.3     -46.1      76.9  2.239e-01
     26.9     -46.2      77.0  2.235e-01
     26.4     -46.4      77.1  2.254e-01
     26.0     -46.5      77.2  2.223e-01
     25.6     -46.7      77.3  2.241e-01
     25.3     -46.8      77.4  2.145e-01
     24.9     -47.0      77.5  2.065e-01
     24.6     -47.2      77.6  2.205e-01
     24.3     -47.3      77.7  2.296e-01
     24.0     -47.5      77.8  2.146e-01
     23.8     -47.6      77.9  2.169e-01
     23.6     -47.8      78.0  2.189e-01
     23.4     -48.0      78.1  2.116e-01
     23.2     -48.1      78.3  2.212e-01
     23.0     -48.3      78.4  2.056e-01
     22.9     -48.4      78.5  2.050e-01
     22.8     -48.6      78.6  2.124e-01
     22.7     -48.7      78.7  2.187e-01
     22.7     -48.9      78.8  2.279e-01
     22.6     -49.1      78.9  2.141e-01
     22.6     -49.2      79.0  2.189e-01
     39.8     -44.8      76.1  2.218e-01
     39.1     -45.0      76.2  2.175e-01
     38.5     -45.1      76.3  2.182e-01
     37.9     -45.3      76.4  2.279e-01
     37.3     -45.4      76.5  2.289e-01
     36.7     -45.6      76.6  2.073e-01
     36.2     -45.7      76.7  2.185e-01
     35.7     -45.9      76.8  2.101e-01
     35.2     -46.1      76.9  2.047e-01
     34.8     -46.2      77.0  2.133e-01
     34.3     -46.4      77.1  2.096e-01
     33.9     -46.5      77.2  2.086e-01
     33.5     -46.7      77.3  2.071e-01
     33.2     -46.9      77.4  2.330e-01
     32.8     -47.0      77.5  2.271e-01
     32.5     -47.2      77.6  2.103e-01
     32.2     -47.3      77.7  2.080e-01
