alt, beta_m-1, dbeta_min_m-1, dbeta_max_m-1
437.202, 2.583e-7, -2.495e-8, 2.465e-8
449.530, 4.463e-7, -2.595e-8, 2.879e-8
460.737, 5.657e-7, -2.025e-8, 2.253e-8
474.559, 5.821e-7, -2.230e-8, 2.477e-8
487.261, 4.953e-7, -2.021e-8, 2.242e-8
498.468, 3.788e-7, -2.016e-8, 2.234e-8
510.796, 2.867e-7, -2.361e-8, 2.736e-8
524.245, 2.298e-7, -2.165e-8, 2.324e-8
536.573, 1.970e-7, -2.315e-8, 2.220e-8
548.901, 1.780e-7, -2.295e-8, 2.370e-8
561.602, 1.780e-7, -2.092e-8, 2.581e-8
573.930, 1.955e-7, -2.162e-8, 2.488e-8
587.379, 2.076e-7, -2.151e-8, 2.642e-8
600.081, 2.060e-7, -2.182e-8, 2.440e-8
612.409, 1.856e-7, -2.052e-8, 2.199e-8
625.858, 1.434e-7, -1.881e-8, 2.122e-8
637.812, 1.155e-7, -1.723e-8, 1.919e-8
651.261, 9.805e-8, -1.462e-8, 1.839e-8
664.710, 7.230e-8, -1.252e-8, 1.514e-8
676.664, 4.596e-8, -9.412e-9, 1.199e-8
690.113, 3.196e-8, -8.271e-9, 1.105e-8
702.441, 2.777e-8, -7.024e-9, 1.009e-8
715.890, 3.341e-8, -6.563e-9, 8.060e-9
729.712, 3.456e-8, -6.131e-9, 7.563e-9
743.161, 2.243e-8, -5.321e-9, 3.454e-9
755.115, 2.037e-8, -4.710e-9, 6.197e-9
768.937, 2.338e-8, -4.740e-9, 5.869e-9
782.013, 2.296e-8, -4.366e-9, 5.392e-9
795.461, 2.101e-8, -3.952e-9, 5.206e-9
807.789, 2.470e-8, -3.791e-9, 4.403e-9
821.612, 2.636e-8, -3.754e-9, 4.138e-9
835.060, 2.129e-8, -3.080e-9, 4.124e-9
848.509, 1.418e-8, -2.786e-9, 3.653e-9
