# imgID         :  N1551888681_1
# ----------- Method 8 -----------
# ----------- REULTS -----------
# TopAlt(km)  MidAlt(km) Alt(km) Lat(degN) Lon(degN)  I_F()       I_F_std()  I_F_calc()   beta()  diff() sun_min() sun_max()           beta_inf   beta_sup    beta_inf_2 beta_sup_2
     460.0     457.5     459.1     -47.0      77.5    8.58E-03    2.33E-03    9.10E-03    1.40E-08   -2.24E-01 0    5       6.82E-08   1.13E-09   5.43E-10    5.43E-10   1.40E-08
     455.0     452.5     454.1     -47.0      77.5    9.76E-03    3.81E-03    1.03E-02    3.69E-08   -1.33E-01 0    5       7.78E-08   1.29E-08   3.30E-08    1.29E-08   3.69E-08
     450.0     447.5     449.1     -47.0      77.5    1.20E-02    5.64E-03    1.27E-02    6.49E-08   -1.24E-01 0    5       9.59E-08   3.59E-08   7.52E-08    3.59E-08   7.52E-08
     445.0     442.5     444.1     -47.0      77.5    1.51E-02    7.03E-03    1.61E-02    9.44E-08   -1.40E-01 0    5       1.22E-07   6.52E-08   1.19E-07    6.52E-08   1.19E-07
     440.0     437.5     439.1     -47.0      77.5    1.88E-02    7.36E-03    2.01E-02    1.20E-07   -1.89E-01 0    5       1.52E-07   9.53E-08   1.28E-07    9.53E-08   1.28E-07
     435.0     432.5     434.0     -47.0      77.5    2.24E-02    6.83E-03    2.42E-02    1.36E-07   -2.68E-01 0    5       1.84E-07   1.13E-07   1.23E-07    1.13E-07   1.36E-07
     430.0     427.5     429.0     -47.0      77.5    2.59E-02    6.78E-03    2.81E-02    1.52E-07   -3.24E-01 0    5       2.14E-07   1.17E-07   1.26E-07    1.17E-07   1.52E-07
     425.0     422.5     424.1     -47.0      77.5    2.97E-02    7.73E-03    3.24E-02    1.80E-07   -3.49E-01 0    5       2.47E-07   1.37E-07   1.80E-07    1.37E-07   1.80E-07
     420.0     417.5     419.1     -47.0      77.5    3.43E-02    9.33E-03    3.78E-02    2.20E-07   -3.77E-01 0    5       2.88E-07   1.71E-07   2.33E-07    1.71E-07   2.33E-07
     415.0     412.5     414.1     -47.0      77.5    3.98E-02    1.10E-02    4.43E-02    2.67E-07   -4.12E-01 0    5       3.39E-07   2.08E-07   2.84E-07    2.08E-07   2.84E-07
     410.0     407.5     409.1     -47.0      77.5    4.62E-02    1.24E-02    5.18E-02    3.16E-07   -4.49E-01 0    5       3.99E-07   2.52E-07   3.41E-07    2.52E-07   3.41E-07
     405.0     402.5     404.1     -47.0      77.5    5.32E-02    1.33E-02    5.96E-02    3.59E-07   -4.80E-01 0    5       4.68E-07   3.02E-07   4.06E-07    3.02E-07   4.06E-07
     400.0     395.0     399.1     -47.0      77.5    6.06E-02    1.37E-02    6.73E-02    3.96E-07   -4.90E-01 0    5       5.42E-07   3.40E-07   3.72E-07    3.40E-07   3.96E-07
     390.0     385.0     389.1     -47.0      77.5    7.65E-02    1.53E-02    8.31E-02    5.53E-07   -4.29E-01 0    5       7.15E-07   4.46E-07   5.79E-07    4.46E-07   5.79E-07
     380.0     375.0     379.0     -47.0      77.5    9.47E-02    1.67E-02    1.03E-01    6.83E-07   -4.96E-01 0    5       9.32E-07   6.00E-07   7.16E-07    6.00E-07   7.16E-07
     370.0     365.0     369.1     -47.0      77.5    1.14E-01    1.77E-02    1.23E-01    8.48E-07   -4.89E-01 0    5       1.19E-06   6.30E-07   9.10E-07    6.30E-07   9.10E-07
     360.0     355.0     359.2     -47.0      77.5    1.35E-01    1.91E-02    1.44E-01    1.13E-06   -4.69E-01 0    5       1.52E-06   9.13E-07   1.21E-06    9.13E-07   1.21E-06
     350.0     345.0     349.1     -47.0      77.5    1.57E-01    1.92E-02    1.66E-01    1.42E-06   -5.00E-01 0    5       1.93E-06   1.13E-06   1.26E-06    1.13E-06   1.42E-06
     340.0     335.0     339.1     -47.0      77.5    1.79E-01    2.04E-02    1.88E-01    2.07E-06   -4.63E-01 0    5       2.47E-06   1.46E-06   2.26E-06    1.46E-06   2.26E-06
     330.0     325.0     329.1     -47.0      77.5    2.03E-01    2.15E-02    2.11E-01    3.26E-06   -3.78E-01 0    5       3.28E-06   2.12E-06   3.95E-06    2.12E-06   3.95E-06
     320.0     315.0     319.1     -47.0      77.5    2.27E-01    2.18E-02    2.24E-01    4.72E-06    9.69E-02 0    5       4.72E-06   3.39E-06   6.87E-06    3.39E-06   6.87E-06
     310.0     305.0     309.1     -47.0      77.5    2.50E-01    2.11E-02    2.28E-01    8.28E-05    1.05E+00 0    5       4.72E-06   6.28E-06   1.02E-01    6.28E-06   1.02E-01
     300.0     287.5     299.1     -47.0      77.5    2.71E-01    1.93E-02    2.19E-01    1.51E-01    2.72E+00 0    5       4.72E-06   1.44E-03   2.00E+03    1.44E-03   2.00E+03
     275.0     262.5     274.1     -47.0      77.5    3.08E-01    1.40E-02    1.97E-01    1.41E+08    8.00E+00 0    5       4.72E-06   5.70E+05   1.81E+11    5.70E+05   1.81E+11
     250.0     237.5     249.1     -47.0      77.5    3.24E-01    1.17E-02    1.80E-01    3.59E+14    1.23E+01 0    5       4.72E-06   1.58E+12   2.36E+16    1.58E+12   2.36E+16
     225.0     212.5     224.1     -47.0      77.5    3.24E-01    1.27E-02    1.67E-01    4.33E+14    1.24E+01 0    5       4.72E-06   6.62E+11   5.49E+15    6.62E+11   5.49E+15
     200.0     175.0     199.1     -47.0      77.5    3.15E-01    1.26E-02    1.54E-01    1.46E+15    1.28E+01 0    5       4.72E-06   6.72E+12   6.61E+16    6.72E+12   6.61E+16
     150.0     125.0     149.1     -47.0      77.5    2.90E-01    1.22E-02    1.33E-01    2.28E+15    1.29E+01 0    5       4.72E-06   1.37E+15   5.47E+18    1.37E+15   5.47E+18
     100.0      75.0      99.1     -47.0      77.5    2.61E-01    1.02E-02    1.15E-01    2.21E+16    1.43E+01 0    5       4.72E-06   8.60E+15   7.00E+19    8.60E+15   7.00E+19
      50.0      25.0      49.2     -47.0      77.5    2.31E-01    1.09E-02    9.85E-02    2.41E+12    1.22E+01 0    5       5.19E-06   3.86E+13   3.20E+17    2.41E+12   3.20E+17
